State_USAHouse,2018 Average Household Size,MyID_USAHouse
Alabama,2.57,1
Alaska,2.79,2
Arizona,2.68,3
Arkansas,2.53,4
California,2.96,5
Colorado,2.56,6
Connecticut,2.51,7
Delaware,2.56,8
District of Columbia,2.31,51
Florida,2.67,9
Georgia,2.7,10
Hawaii,3.02,11
Idaho,2.69,12
Illinois,2.56,13
Indiana,2.5,14
Iowa,2.41,15
Kansas,2.5,16
Kentucky,2.5,17
Louisiana,2.61,18
Maine,2.28,19
Maryland,2.66,20
Massachusetts,2.54,21
Michigan,2.47,22
Minnesota,2.5,23
Mississippi,2.61,24
Missouri,2.44,25
Montana,2.4,26
Nebraska,2.45,27
Nevada,2.65,28
New Hampshire,2.47,29
New Jersey,2.69,30
New Mexico,2.58,31
New York,2.53,32
North Carolina,2.52,33
North Dakota,2.3,34
Ohio,2.43,35
Oklahoma,2.58,36
Oregon,2.5,37
Pennsylvania,2.44,38
Rhode Island,2.5,39
South Carolina,2.57,40
South Dakota,2.46,41
Tennessee,2.54,42
Texas,2.87,43
United States,2.52,
Utah,3.12,44
Vermont,2.3,45
Virginia,2.61,46
Washington,2.55,47
West Virginia,2.39,48
Wisconsin,2.39,49
Wyoming,2.45,50
