Location,"GDP Per Capita  (2019, USD)",MyID
Alabama,47735,1
Alaska,76220,2
Arizona,51179,3
Arkansas,44808,4
California,80563,5
Colorado,68828,6
Connecticut,81055,7
Delaware,78468,8
District of Columbia,210033,51
Florida,51745,9
Georgia,58896,10
Hawaii,69593,11
Idaho,46043,12
Illinois,71727,13
Indiana,56702,14
Iowa,62493,15
Kansas,60310,16
Kentucky,48697,17
Louisiana,57445,18
Maine,50915,19
Maryland,71838,20
Massachusetts,86942,21
Michigan,54928,22
Minnesota,68427,23
Mississippi,40464,24
Missouri,54879,25
Montana,49540,26
Nebraska,66737,27
Nevada,58570,28
New Hampshire,66069,29
New Jersey,73451,30
New Mexico,50201,31
New York,90043,32
North Carolina,56862,33
North Dakota,75321,34
Ohio,60464,35
Oklahoma,52409,36
Oregon,60558,37
Pennsylvania,64412,38
Rhode Island,60830,39
South Carolina,48547,40
South Dakota,61104,41
Tennessee,56451,42
Texas,66149,43
United States,65515,
Utah,59892,44
Vermont,56525,45
Virginia,65824,46
Washington,80170,47
West Virginia,43806,48
Wisconsin,60425,49
Wyoming,68757,50
