StateUS_PopDen,Population,MyID_USPopDen
California,"39,144,818",5
Texas,"27,469,114",43
Florida,"20,271,272",9
Illinois,"12,859,995",13
Pennsylvania,"12,802,503",38
Ohio,"11,614,373",35
New York,"19,453,561",32
Georgia,"10,214,860",10
North Carolina,"10,042,802",33
Michigan,"9,922,576",22
New Jersey,"8,958,013",30
Virginia,"8,382,993",46
Washington,"7,170,351",47
Arizona,"6,828,065",3
Massachusetts,"6,794,422",21
Indiana,"6,619,680",14
Tennessee,"6,600,299",42
Missouri,"6,083,672",25
Maryland,"6,006,401",20
Wisconsin,"5,771,337",49
Minnesota,"5,489,594",23
Colorado,"5,456,574",6
South Carolina,"4,896,146",40
Alabama,"4,858,979",1
Louisiana,"4,670,724",18
Kentucky,"4,425,092",17
Oregon,"4,028,977",37
Oklahoma,"3,911,338",36
Puerto Rico,"3,680,058",
Connecticut,"3,590,886",7
Iowa,"3,123,899",15
Utah,"2,995,919",44
Mississippi,"2,992,333",24
Arkansas,"2,978,204",4
Kansas,"2,911,641",16
Nevada,"2,890,845",28
New Mexico,"2,085,109",31
Nebraska,"1,896,190",27
West Virginia,"1,844,128",48
Idaho,"1,654,930",12
Hawaii,"1,431,603",11
New Hampshire,"1,330,608",29
Maine,"1,329,328",19
Rhode Island,"1,056,298",39
Montana,"1,032,949",26
Delaware,"945,934",8
South Dakota,"858,469",41
North Dakota,"756,927",34
Alaska,"738,432",2
District of Columbia,"672,228",51
Vermont,"626,042",45
Wyoming,"586,107",50
Guam,"169,885",
US Virgin Islands,"106,906",
American Samoa,"55,538",
Northern Mariana Islands,"55,070",
Canada,35151728,
Newfoundland and Labrador,519716,61
Prince Edward Island,142907,58
Nova Scotia,923598,54
New Brunswick,747101,55
Quebec,8164361,53
Ontario,13448494,52
Manitoba,1278365,56
Saskatchewan,1098352,59
Alberta,4067175,60
British Columbia,4648055,57
Yukon,35874,63
Northwest Territories,41786,62
Nunavut,35944,64
